Datetime,Tweet
2021-10-24 11:05:26+00:00,"🗨️ Replies: 11
📎 Quoteds: 1
🔃 Retweets: 0
❤️ Likes: 24

📊 Score: 59 https://t.co/e3VwgtRGtU"
2021-10-24 11:05:26+00:00,"🗨️ Replies: 22
📎 Quoteds: 3
🔃 Retweets: 1
❤️ Likes: 8

📊 Score: 81 https://t.co/DFBgaRxwVm"
2021-10-24 11:05:25+00:00,"🗨️ Replies: 23
📎 Quoteds: 0
🔃 Retweets: 1
❤️ Likes: 30

📊 Score: 100 https://t.co/Hbm60LRTwf"
2021-10-24 09:30:00+00:00,Itb! Barangkali di sini ada yang melihara tanaman karnivora. Gua mau nanya
2021-10-24 04:20:00+00:00,Itb! Setelah masuk itb makin cakep atau makin jelek? Gua makin buriqq 🥴
2021-10-24 03:30:00+00:00,itb! ketahanan konten sejak zaman antah barantah https://t.co/sADbsBxLJO
2021-10-24 02:00:00+00:00,"Itb! Disini ada nggak sih yg orang tuanya suka ngerasa bener sendiri, suka bandingin anak sekarang sama anak jaman dulu. Kesel, gedek, bawaannya jadi males buat kuliah online yg emang udah bikin capek"
2021-10-23 23:30:00+00:00,"itb! udh lulus ospek tes kenal angktan tp cm kenal doang ga ada yg dkt, gmn yaa caranya 👉🏻👈🏻"
2021-10-23 22:30:00+00:00,"bucin! @.watzituyaa yes, it was meant for you. https://t.co/kc1XmU2smD"
2021-10-23 20:25:00+00:00,Itb! Ada yg masih melek gak? Netflixan kuy lewat discord ntar gue dm
2021-10-23 18:00:00+00:00,Bucin! Semangat ya untuk 16521*** (pokoknya ini bilangan prima) &lt;3
2021-10-23 17:35:00+00:00,"Cape ya ngecrush diem2, should i confess? bucin!"
2021-10-23 17:10:00+00:00,"itb! mau nanya, bisa gasih cowo klo nongkrong ga ada rokok/vape, kayaknya mustahil deh ya"
